Site Number ,Site Type,Site Status,Primary Descriptor
709300706,School,Active,"Buckby St, Strathpine"
709301001,Primary,Active,"Gympie Arterial Rd, Bald Hills"
709301101,Primary,Active,"Gympie Rd, Lawnton"
709301102,School,Active,"Lawnton Pocket Rd, Lawnton"
709301201,Primary,Active,"Paisley Dr, Lawnton"
709301202,Primary,Active,"Bells Pocket Rd, Strathpine"
709301501,Primary,Active,"Bruce Hwy, Murrumba Downs"
709301502,Primary,Active,"Bruce Hwy, Griffin"
709301601,Primary,Active,"Todds Rd, Lawnton"
709301602,Stake Holder,Active,"Spencer St, Lawnton"
709301603,Primary,Active,"Gympie Rd, Lawnton"
709301901,Primary,Active,"Castle Hill Dr, Murrumba Downs"
709302001,Primary,Active,"Bruce Hwy, Murrumba Downs"
709302401,Primary,Active,"McClintock Dr, Murrumba Downs"
709302402,Primary,Active,"Dohles Rocks Rd, Murrumba Downs"
709302501,Primary,Active,"Bruce Hwy, Murrumba Downs"
709302502,Primary,Active,"Bruce Hwy, Griffin"
709310201,Primary,Active,"Lascelles St, Brighton"
709310301,Stake Holder,Active,"Queens Pde, Brighton"
